"country","year","npl","nim","loans","credit_growth","vc_ai","log_vc_ai","lag_vc_ai","lag_log_vc_ai","gdp_growth","inflation","unemployment","covid","lag_npl","lag_nim","lag_credit","lag_gdp_growth","lag_inflation","lag_unemployment"
"Italy",2021,3.928675,1.14,675752.916666667,0.33864300521167,156.3361975,5.0583849012009,158.2156305,5.07025945012346,10.8896797153025,1.9,9.5,1,5.721775,1.255,0.754003116995028,-6.95364238410596,-0.1,9.3
"Italy",2022,2.94785,1.285,679430.583333333,0.544232451826887,561.008329,6.33151667006857,156.3361975,5.0583849012009,8.66495507060334,8.7,8.1,0,3.928675,1.14,0.33864300521167,10.8896797153025,1.9,9.5
"Italy",2023,2.71855,2.04,644764.5,-5.10222592030802,180.002542,5.1985110753661,561.008329,6.33151667006857,7.2947430596574,5.9,7.7,0,2.94785,1.285,0.544232451826887,8.66495507060334,8.7,8.1
"Luxembourg",2015,2.646075,0.92,55028.25,NA,0.706682,0.534551134717947,NA,NA,NA,0.1,6.7,0,NA,NA,NA,NA,NA,NA
"Luxembourg",2016,2.420325,0.785,65903.3333333333,19.7627279321682,4.859635,1.76808731495961,0.706682,0.534551134717947,1.19886423388369,0,6.3,0,2.646075,0.92,NA,NA,0.1,6.7
"Luxembourg",2017,2.416325,0.7575,68792.6666666667,4.38419907945984,18.332997,2.96181332517526,4.859635,1.76808731495961,1.25740413592434,2.1,5.5,0,2.420325,0.785,19.7627279321682,1.19886423388369,0,6.3
"Luxembourg",2018,1.948225,0.6925,70731.0833333333,2.81776642859217,0.661567,0.507761133007004,18.332997,2.96181332517526,1.46756978653531,2,5.6,0,2.416325,0.7575,4.38419907945984,1.25740413592434,2.1,5.5
"Luxembourg",2019,1.84545,0.805,74886.1666666667,5.87447998463666,6.3137695,1.98975880432766,0.661567,0.507761133007004,1.56771518155154,1.6,5.6,0,1.948225,0.6925,2.81776642859217,1.46756978653531,2,5.6
"Luxembourg",2020,1.669575,0.74,79188.8333333333,5.74560944722766,18.427473,2.96668819831777,6.3137695,1.98975880432766,1.76259709221271,0,6.8,1,1.84545,0.805,5.87447998463666,1.56771518155154,1.6,5.6
"Luxembourg",2021,1.71235,0.575,71403.4166666667,-9.83145771815469,3.854775,1.57996275669409,18.427473,2.96668819831777,11.4786182601037,3.5,5.3,1,1.669575,0.74,5.74560944722766,1.76259709221271,0,6.8
"Luxembourg",2022,1.46235,0.7825,73461.25,2.88198160452171,37.902892,3.66106859233399,3.854775,1.57996275669409,2.79143258426966,8.2,4.6,0,1.71235,0.575,-9.83145771815469,11.4786182601037,3.5,5.3
"Luxembourg",2023,1.857975,1.5025,68725.5833333333,-6.44648255599608,19.223086,3.00682482311406,37.902892,3.66106859233399,5.01280956447481,2.9,5.2,0,1.46235,0.7825,2.88198160452171,2.79143258426966,8.2,4.6
"Netherlands",2015,2.812025,1.49666666666667,424655.833333333,NA,132.6171305,4.89497847518816,NA,NA,NA,0.2,7.9,0,NA,NA,NA,NA,NA,NA
"Netherlands",2016,2.5007,1.4575,406214.083333333,-4.34275207177577,99.18486,4.60701707942995,132.6171305,4.89497847518816,2.47152895565785,0.1,7,0,2.812025,1.49666666666667,NA,NA,0.2,7.9
"Netherlands",2017,2.287925,1.5025,384757.75,-5.28202595962842,135.4176415,4.91572107355638,99.18486,4.60701707942995,3.64152281863324,1.3,5.9,0,2.5007,1.4575,-4.34275207177577,2.47152895565785,0.1,7
"Netherlands",2018,2.038275,1.495,374869.833333333,-2.56990708222685,270.934062,5.60555961779009,135.4176415,4.91572107355638,4.24366872005475,1.6,4.9,0,2.287925,1.5025,-5.28202595962842,3.64152281863324,1.3,5.9
"Netherlands",2019,1.854475,1.485,366594,-2.20765519053502,525.351969,6.26597013154718,270.934062,5.60555961779009,4.70562486320858,2.7,4.4,0,2.038275,1.495,-2.56990708222685,4.24366872005475,1.6,4.9
"Netherlands",2020,1.861825,1.3725,362000.5,-1.25302105326328,218.378492,5.39079851204216,525.351969,6.26597013154718,-2.15301003344481,1.1,4.9,1,1.854475,1.485,-2.20765519053502,4.70562486320858,2.7,4.4
"Netherlands",2021,1.571725,1.3025,353822.75,-2.25904384109966,1542.732059,7.34195817860835,218.378492,5.39079851204216,8.63063447981201,2.8,4.2,1,1.861825,1.3725,-1.25302105326328,-2.15301003344481,1.1,4.9
"Netherlands",2022,1.2891,1.295,373066,5.43866950330356,1179.354977,7.07357050018615,1542.732059,7.34195817860835,10.4031465093412,11.6,3.5,0,1.571725,1.3025,-2.25904384109966,8.63063447981201,2.8,4.2
"Netherlands",2023,1.31095,1.5975,369411.75,-0.979518369403809,603.707315,6.40474456411356,1179.354977,7.07357050018615,4.6312789454934,4.1,3.6,0,1.2891,1.295,5.43866950330356,10.4031465093412,11.6,3.5
"Portugal",2015,18.485,1.48,86384.135,NA,17.5,2.91777073208428,NA,NA,NA,0.5,13,0,NA,NA,NA,NA,NA,NA
"Portugal",2016,19.31865,1.6075,81545.2908333333,-5.60154265209307,57.692496,4.07231188220572,17.5,2.91777073208428,4.16666666666667,0.6,11.5,0,18.485,1.48,NA,NA,0.5,13
"Portugal",2017,18.010625,1.7125,76041.0725,-6.74989110601513,51.1546945,3.95421419657075,57.692496,4.07231188220572,5.05555555555555,1.6,9.2,0,19.31865,1.6075,-5.60154265209307,4.16666666666667,0.6,11.5
"Portugal",2018,14.062125,1.6975,73427.9425,-3.4364717830617,369.633563,5.91521387370094,51.1546945,3.95421419657075,4.91803278688525,1.2,7.2,0,18.010625,1.7125,-6.74989110601513,5.05555555555555,1.6,9.2
"Portugal",2019,9.729975,1.7275,70576.7358333333,-3.88299953613254,32.010966,3.49683980929636,369.633563,5.91521387370094,4.3850806451613,0.3,6.6,0,14.062125,1.6975,-3.4364717830617,4.91803278688525,1.2,7.2
"Portugal",2020,6.5542,1.5975,71683.8633333333,1.56868617814014,20.499102,3.06801116681947,32.010966,3.49683980929636,-6.51859005311444,-0.1,7.1,1,9.729975,1.7275,-3.88299953613254,4.3850806451613,0.3,6.6
"Portugal",2021,4.777325,1.44,76946.9716666667,7.34211032803804,392.3509755,5.97470228075184,20.499102,3.06801116681947,7.43801652892562,0.9,6.7,1,6.5542,1.5975,1.56868617814014,-6.51859005311444,-0.1,7.1
"Portugal",2022,3.759,1.705,77727.4916666667,1.01436090738074,352.848769,5.86886961564051,392.3509755,5.97470228075184,12.0192307692308,8.1,6.2,0,4.777325,1.44,7.34211032803804,7.43801652892562,0.9,6.7
"Portugal",2023,3.256,3.0425,75386.9,-3.01127904230368,53.7464035,4.00271167704124,352.848769,5.86886961564051,9.69957081545065,5.3,6.5,0,3.759,1.705,1.01436090738074,12.0192307692308,8.1,6.2
"Spain",2015,6.890675,2.35,544276.416666667,NA,69.5629755,4.256505580594,NA,NA,NA,-0.6,22.1,0,NA,NA,NA,NA,NA,NA
"Spain",2016,5.91135,2.275,517221.666666667,-4.97077388832909,102.1644715,4.63632452536264,69.5629755,4.256505580594,3.19965870307166,-0.3,19.6,0,6.890675,2.35,NA,NA,-0.6,22.1
"Spain",2017,5.027625,2.3875,501255.583333333,-3.08689375606205,102.6539355,4.64105780728785,102.1644715,4.63632452536264,4.00992145514676,2,17.2,0,5.91135,2.275,-4.97077388832909,3.19965870307166,-0.3,19.6
"Spain",2018,4.1095,2.38,477865.5,-4.66629881263168,249.5325735,5.52358894600338,102.6539355,4.64105780728785,3.13990461049285,1.7,15.3,0,5.027625,2.3875,-3.08689375606205,4.00992145514676,2,17.2
"Spain",2019,3.417225,2.3425,461983.416666667,-3.32354675810104,432.767786,6.0725093356077,249.5325735,5.52358894600338,2.58188824662813,0.8,14.1,0,4.1095,2.38,-4.66629881263168,3.13990461049285,1.7,15.3
"Spain",2020,2.984375,2.1325,486295.333333333,5.26250852077843,357.655953,5.88236358078963,432.767786,6.0725093356077,-10.4057099924869,-0.3,15.5,1,3.417225,2.3425,-3.32354675810104,2.58188824662813,0.8,14.1
"Spain",2021,3.0332,1.9225,488566.5,0.467034435864089,925.8600885,6.83180262483291,357.655953,5.88236358078963,9.39203354297693,3,14.9,1,2.984375,2.1325,5.26250852077843,-10.4057099924869,-0.3,15.5
"Spain",2022,2.767175,2.085,495622.083333333,1.44413981174176,1784.9438185,7.48770230433473,925.8600885,6.83180262483291,10.3487926408586,8.3,13,0,3.0332,1.9225,0.467034435864089,9.39203354297693,3,14.9
"Spain",2023,2.762375,2.5825,480735.25,-3.00366626789733,368.926903,5.91330542666137,1784.9438185,7.48770230433473,7.60680791941646,3.4,12.2,0,2.767175,2.085,1.44413981174176,10.3487926408586,8.3,13
